account_value,datadate,daily_return,Date
1000000.0,20160104,,2016-01-04
999752.7160977679,20160105,-0.0002472839022320539,2016-01-05
997318.3220543384,20160106,-0.002434996178786508,2016-01-06
991674.51243579,20160107,-0.005658985194338828,2016-01-07
988578.5515274381,20160108,-0.0031219526866204106,2016-01-08
990698.7694741872,20160111,0.002144713683574384,2016-01-11
992977.4959536772,20160112,0.002300120429845176,2016-01-12
981227.040124038,20160113,-0.011833557031777242,2016-01-13
988059.0310924615,20160114,0.0069627014840112356,2016-01-14
976723.716887342,20160115,-0.011472304638100894,2016-01-15
978337.1737565246,20160119,0.0016519071271499097,2016-01-19
964197.0296831058,20160120,-0.014453242146697631,2016-01-20
969921.4774687156,20160121,0.005937010392462305,2016-01-21
981557.7313593121,20160122,0.011997109210288404,2016-01-22
971093.5608612921,20160125,-0.010660779456679204,2016-01-25
985482.7060319716,20160126,0.014817465330444035,2016-01-26
975175.8465990952,20160127,-0.010458691329426562,2016-01-27
981890.4673757302,20160128,0.006885548693655652,2016-01-28
1010584.9928294448,20160129,0.029223753979815692,2016-01-29
1010903.0360359673,20160201,0.00031471198244492626,2016-02-01
989471.3200605952,20160202,-0.02120056544632798,2016-02-02
993666.4921966499,20160203,0.004239811757047907,2016-02-03
995869.4507788308,20160204,0.0022169999687831066,2016-02-04
980944.2596190028,20160205,-0.014987096097942909,2016-02-05
962398.6369320321,20160208,-0.018905888387759973,2016-02-08
962604.14707684,20160209,0.00021353952190028558,2016-02-09
960138.2155391749,20160210,-0.0025617296010551627,2016-02-10
943697.0699048592,20160211,-0.017123727988561543,2016-02-11
967533.1815008541,20160212,0.02525822359329566,2016-02-12
980465.496887645,20160216,0.013366275838447184,2016-02-16
993741.3723482351,20160217,0.013540380056955126,2016-02-17
985274.7183530636,20160218,-0.008519977361076014,2016-02-18
986519.0190418144,20160219,0.0012628972057973087,2016-02-19
1002071.2378774536,20160222,0.01576474303632258,2016-02-22
990965.2586792104,20160223,-0.011083023619924859,2016-02-23
995850.6907742069,20160224,0.004929973126916565,2016-02-24
1011378.0919555186,20160225,0.015592097615798384,2016-02-25
1008153.4436792115,20160226,-0.0031883707012796414,2016-02-26
1000345.1728091319,20160229,-0.007745121458479276,2016-02-29
1021521.4979628244,20160301,0.021169018184219235,2016-03-01
1021429.2379513105,20160302,-9.031627009115084e-05,2016-03-02
1025965.2861911029,20160303,0.004440883490754999,2016-03-03
1027695.948361522,20160304,0.0016868623078312162,2016-03-04
1026645.4495680564,20160307,-0.0010221883185785874,2016-03-07
1019583.066594132,20160308,-0.006879086618360564,2016-03-08
1017969.949727056,20160309,-0.001582133834827748,2016-03-09
1015825.4715104328,20160310,-0.002106622319448803,2016-03-10
1028241.7699438838,20160311,0.012222865818661832,2016-03-11
1029272.0122576128,20160314,0.0010019455966909785,2016-03-14
1029625.1780340672,20160315,0.000343121907764532,2016-03-15
1030691.400522662,20160316,0.0010355443042200374,2016-03-16
1036387.6785890794,20160317,0.005526657216242237,2016-03-17
1044723.109797118,20160318,0.008042773356188748,2016-03-18
1044502.9427912092,20160321,-0.00021074196966075487,2016-03-21
1038995.9778334394,20160322,-0.00527233072513289,2016-03-22
1037315.2245519632,20160323,-0.001617670633317525,2016-03-23
1036795.5266038324,20160324,-0.000501002911969417,2016-03-24
1038232.0232090872,20160328,0.0013855158210029916,2016-03-28
1043732.0382558458,20160329,0.005297481607009713,2016-03-29
1050601.0912046274,20160330,0.0065812418293302866,2016-03-30
1050458.132951617,20160331,-0.0001360728198430694,2016-03-31
1057833.932750463,20160401,0.007021507633170776,2016-04-01
1051488.6358847236,20160404,-0.005998386579678994,2016-04-04
1051488.6358847236,20160405,0.0,2016-04-05
1045122.4218006056,20160406,-0.00605447730660591,2016-04-06
1029440.7688110131,20160407,-0.015004608706581157,2016-04-07
1030022.8151880014,20160408,0.0005654005501070092,2016-04-08
1030908.8943874106,20160411,0.0008602520122309443,2016-04-11
1043380.8751326228,20160412,0.012098043593486763,2016-04-12
1062636.7894066987,20160413,0.01845530690950059,2016-04-13
1063753.287186651,20160414,0.0010506861714958404,2016-04-14
1059742.0164746179,20160415,-0.0037708656324267897,2016-04-15
1069666.4318271645,20160418,0.009364935237315297,2016-04-18
1079155.9981716254,20160419,0.008871519253204285,2016-04-19
1086861.9233517908,20160420,0.0071406962415268005,2016-04-20
1078566.6733819994,20160421,-0.007632294214714563,2016-04-21
1081403.2646545528,20160422,0.002629963768172816,2016-04-22
1080637.216771735,20160425,-0.0007083831793890383,2016-04-25
1082119.2739280327,20160426,0.001371465958506457,2016-04-26
1081383.0674799206,20160427,-0.0006803376169798314,2016-04-27
1068048.4368099594,20160428,-0.012331088835186299,2016-04-28
1061266.6022311738,20160429,-0.006349744398336021,2016-04-29
1069970.632557677,20160502,0.00820154926971628,2016-05-02
1060322.5609641995,20160503,-0.009017136825909655,2016-05-03
1053461.0306600789,20160504,-0.006471172600421848,2016-05-04
1053192.4095968644,20160505,-0.000254989083977919,2016-05-05
1057375.4644246679,20160506,0.00397178596207759,2016-05-06
1055604.3373985556,20160509,-0.0016750218684864482,2016-05-09
1067978.946794387,20160510,0.011722772403841564,2016-05-10
