account_value,datadate,daily_return,Date
1000000.0,20160104,,2016-01-04
999220.0481008105,20160105,-0.0007799518991895571,2016-01-05
992638.6182076209,20160106,-0.006586567098707308,2016-01-06
978665.278937294,20160107,-0.014076965185535695,2016-01-07
971329.6513336336,20160108,-0.007495542921095555,2016-01-08
973365.7199318936,20160111,0.002096166420395562,2016-01-11
980348.7825727427,20160112,0.007174140713870347,2016-01-12
956113.2022753408,20160113,-0.024721385621350067,2016-01-13
966973.1716744916,20160114,0.011358455644484788,2016-01-14
943366.81185529,20160115,-0.02441263161243956,2016-01-15
946612.8555119385,20160119,0.003440913561782555,2016-01-19
934458.7930006874,20160120,-0.01283952826171797,2016-01-20
939711.0650108884,20160121,0.005620656629850007,2016-01-21
948269.2030291902,20160122,0.009107201497305706,2016-01-22
937357.9720135886,20160125,-0.011506469872422542,2016-01-25
950853.0340177891,20160126,0.014396913886816298,2016-01-26
930429.7065020374,20160127,-0.02147895288239632,2016-01-27
936160.4875041377,20160128,0.006159284212501337,2016-01-28
958291.7250108884,20160129,0.02364043110359626,2016-01-29
962083.9920195892,20160201,0.003957319999458031,2016-02-01
946759.4595563428,20160202,-0.015928476713428563,2016-02-02
956653.4360819956,20160203,0.01045035930276228,2016-02-03
961715.8635917464,20160204,0.005291809257994329,2016-02-04
949635.2685812452,20160205,-0.012561501237364991,2016-02-05
935376.3995743449,20160208,-0.015015100511381663,2016-02-08
936803.2850798952,20160209,0.0015254666529962435,2016-02-09
930277.5590732944,20160210,-0.006965951241347579,2016-02-10
910115.0050528924,20160211,-0.021673697085079824,2016-02-11
925526.1865710444,20160212,0.01693322429867683,2016-02-12
941022.3495833456,20160216,0.01674308435260219,2016-02-16
957472.6336007472,20160217,0.017481289391995114,2016-02-17
952886.0005944469,20160218,-0.004790354152527043,2016-02-18
950288.9370870959,20160219,-0.002725471363553278,2016-02-19
965690.5585992471,20160222,0.01620730381157709,2016-02-22
957720.2320855958,20160223,-0.008253499470070813,2016-02-23
960352.1735887462,20160224,0.0027481318812894173,2016-02-24
973527.1801023977,20160225,0.013718932362507985,2016-02-25
972170.4561119984,20160226,-0.0013936169612198679,2016-02-26
967148.7266100484,20160229,-0.005165482524570164,2016-02-29
985910.1656319505,20160301,0.019398711393296075,2016-03-01
985567.3481251998,20160302,-0.0003477167785677082,2016-03-02
989804.6251248998,20160303,0.004299327699685218,2016-03-03
995211.0386352508,20160304,0.005462101684631682,2016-03-04
997078.0691273,20160307,0.0018760146537457612,2016-03-07
991911.4896133486,20160308,-0.005181720142008017,2016-03-08
991217.3991167988,20160309,-0.0006997504352130868,2016-03-09
991951.744617849,20160310,0.0007408521094409704,2016-03-10
1004997.2381402012,20160311,0.013151338856083106,2016-03-11
1006553.8571351008,20160314,0.0015488788782944685,2016-03-14
1007583.4236337506,20160315,0.0010228628019768315,2016-03-15
1012218.2741408013,20160316,0.00459996700852372,2016-03-16
1021715.2351519023,20160317,0.009382325189853269,2016-03-17
1029661.3341558028,20160318,0.007777214952382705,2016-03-18
1032702.6961540028,20160321,0.0029537498372642634,2016-03-21
1029697.552649652,20160322,-0.002909979334364654,2016-03-22
1025383.622148602,20160323,-0.004189512240705295,2016-03-23
1024468.2431507023,20160324,-0.0008927185671072646,2016-03-24
1024878.1591543027,20160328,0.0004001256323373781,2016-03-28
1030486.673147702,20160329,0.005472371465138126,2016-03-29
1033106.9171531027,20160330,0.0025427247859468594,2016-03-30
1029479.3041438016,20160331,-0.003511362618012104,2016-03-31
1035833.566148002,20160401,0.006172306697787677,2016-04-01
1032370.685646952,20160404,-0.0033430858143819187,2016-04-04
1032370.685646952,20160405,0.0,2016-04-05
1030653.0854219295,20160406,-0.0016637437006903344,2016-04-06
1017056.7758594664,20160407,-0.01319193602073876,2016-04-07
1018627.7611480951,20160408,0.0015446387319932864,2016-04-08
1018304.8723248128,20160411,-0.00031698411882907784,2016-04-11
1028280.9388018604,20160412,0.009796738430871033,2016-04-12
1042046.3599718604,20160413,0.013386829076146523,2016-04-13
1043515.8266918607,20160414,0.0014101740349057312,2016-04-14
1037752.2005718604,20160415,-0.005523276190522175,2016-04-15
1038701.7544718606,20160418,0.0009150102495343315,2016-04-18
1040256.6013818604,20160419,0.0014969137226406026,2016-04-19
1049548.2813818604,20160420,0.008932103855584295,2016-04-20
1037776.4713818604,20160421,-0.01121607286565307,2016-04-21
1042494.1613818605,20160422,0.004545959684090883,2016-04-22
1039608.8513818604,20160425,-0.0027676989539926478,2016-04-25
1040056.4113818605,20160426,0.00043050806984301637,2016-04-26
1032777.7513818605,20160427,-0.006998331936946878,2016-04-27
1017993.3963818605,20160428,-0.014315136998466982,2016-04-28
1010452.8013818605,20160429,-0.007407312293773893,2016-04-29
1016647.5013818605,20160502,0.006130617869066546,2016-05-02
1012260.5113818605,20160503,-0.0043151534765364374,2016-05-03
1005398.0613818605,20160504,-0.006779331923786991,2016-05-04
1005981.4213818605,20160505,0.0005802278942115269,2016-05-05
1005320.0313818605,20160506,-0.0006574574698322566,2016-05-06
1006453.4713818607,20160509,0.0011274419733209307,2016-05-09
1017753.5613818605,20160510,0.011227632793083586,2016-05-10
1005043.8813818605,20160511,-0.012487973987281742,2016-05-11
1000895.6913818605,20160512,-0.0041273720250866175,2016-05-12
991592.7113818604,20160513,-0.00929465485774661,2016-05-13
1003270.1313818605,20160516,0.01177642782763777,2016-05-16
993641.0013818606,20160517,-0.009597744115771856,2016-05-17
1000408.2913818605,20160518,0.00681059858700328,2016-05-18
999183.7513818605,20160519,-0.0012240402349210644,2016-05-19
