account_value,datadate,daily_return,Date
1122934.1142939695,20170608,0.0004923103002587581,2017-06-08
1127096.12429397,20170609,0.003706370611616272,2017-06-09
1126513.82429397,20170612,-0.0005166373900582499,2017-06-12
1130633.83429397,20170613,0.0036573097561249934,2017-06-13
1132239.41429397,20170614,0.0014200707172387084,2017-06-14
1134467.2542939698,20170615,0.00196764038760211,2017-06-15
1135972.22429397,20170616,0.001326587430623416,2017-06-16
1142029.27429397,20170619,0.005332040582034958,2017-06-19
1138550.28429397,20170620,-0.0030463229606357833,2017-06-20
1135336.52429397,20170621,-0.0028226772627727437,2017-06-21
1134026.9842939698,20170622,-0.0011534377446499322,2017-06-22
1135276.9842939698,20170623,0.0011022665397846243,2017-06-23
1134628.8842939695,20170626,-0.0005708739003489338,2017-06-26
1130107.61429397,20170627,-0.003984800724346926,2017-06-27
1138172.10429397,20170628,0.007136037221586511,2017-06-28
1127612.1942939698,20170629,-0.009277955381405745,2017-06-29
1132854.64429397,20170630,0.004649160435235222,2017-06-30
1138531.99429397,20170703,0.005011543209533675,2017-07-03
1138531.99429397,20170705,0.0,2017-07-05
1128454.5903339698,20170706,-0.008851225973890653,2017-07-06
1135046.85613397,20170707,0.005841852969953543,2017-07-07
1133639.03017397,20170710,-0.0012403240909324431,2017-07-10
1132155.9669839698,20170711,-0.0013082322948713143,2017-07-11
1138707.39940397,20170712,0.005786687180082684,2017-07-12
1137633.05479397,20170713,-0.0009434773239924699,2017-07-13
1141580.24479397,20170714,0.003469651293417142,2017-07-14
1140281.35479397,20170717,-0.001137799997786626,2017-07-17
1136880.4047939698,20170718,-0.0029825533722023234,2017-07-18
1139952.7847939702,20170719,0.002702465437037116,2017-07-19
1141981.09479397,20170720,0.0017792929909516975,2017-07-20
1138600.21479397,20170721,-0.0029605393779393863,2017-07-21
1135513.70479397,20170724,-0.0027107934461074734,2017-07-24
1144702.19479397,20170725,0.008091923471471585,2017-07-25
1137665.16479397,20170726,-0.006147476638032168,2017-07-26
1141548.64479397,20170727,0.0034135527044139025,2017-07-27
1140407.11225397,20170728,-0.0009999858921527771,2017-07-28
1140399.7220790528,20170731,-6.480295359212462e-06,2017-07-31
1141658.2481543606,20170801,0.0011035832883345975,2017-08-01
1142123.0021099558,20170802,0.0004070867585344029,2017-08-02
1140888.4777703218,20170803,-0.001080903140338929,2017-08-03
1144816.427877433,20170804,0.003442886998725525,2017-08-04
1147623.4165498002,20170807,0.002451911593871481,2017-08-07
1143854.8529233374,20170808,-0.0032837981276058192,2017-08-08
1144175.9756452274,20170809,0.00028073729902811095,2017-08-09
1134774.1096330162,20170810,-0.008217150344298485,2017-08-10
1134046.5049517772,20170811,-0.00064118900410437,2017-08-11
1141722.093155587,20170814,0.006768318733221923,2017-08-14
1139618.1897754376,20170815,-0.0018427456145081456,2017-08-15
1141552.8850967665,20170816,0.0016976697447328437,2017-08-16
1128222.8826860944,20170817,-0.011677078289318299,2017-08-17
1123256.750930505,20170818,-0.004401729331854898,2017-08-18
1123245.460930505,20170821,-1.0051130332144886e-05,2017-08-21
1132744.2409305049,20170822,0.008456548751268445,2017-08-22
1124973.720930505,20170823,-0.006859906869724264,2017-08-23
1122496.900930505,20170824,-0.0022016692069495303,2017-08-24
1124064.3909305052,20170825,0.0013964314722836324,2017-08-25
1123173.940930505,20170828,-0.0007921699212115607,2017-08-28
1124403.420930505,20170829,0.0010946479037623469,2017-08-29
1125951.860930505,20170830,0.0013771213882634026,2017-08-30
1129000.670930505,20170831,0.0027077622994293726,2017-08-31
1128986.770930505,20170901,-1.2311773020190486e-05,2017-09-01
1124680.190930505,20170905,-0.0038145531115926223,2017-09-05
1127275.3709305052,20170906,0.002307482625663715,2017-09-06
1132053.780930505,20170907,0.004238902155784041,2017-09-07
1128868.680930505,20170908,-0.002813558908289493,2017-09-08
1142416.480930505,20170911,0.012001218767831112,2017-09-11
1144276.460930505,20170912,0.0016281102654305268,2017-09-12
1144605.0609305052,20170913,0.00028716836465636497,2017-09-13
1148679.150930505,20170914,0.0035593849259130117,2017-09-14
1154687.930930505,20170915,0.0052310342667336585,2017-09-15
1159768.8109305052,20170918,0.004400219196805555,2017-09-18
1162305.2909305051,20170919,0.0021870565720463198,2017-09-19
1158773.230930505,20170920,-0.0030388401632176487,2017-09-20
1153105.550930505,20170921,-0.004891103667840957,2017-09-21
1152919.9109305053,20170922,-0.00016099133323044246,2017-09-22
1150995.470930505,20170925,-0.0016691879303628587,2017-09-25
1149676.0409305051,20170926,-0.0011463381336620504,2017-09-26
1147167.470930505,20170927,-0.002181979888847385,2017-09-27
1151351.1009305052,20170928,0.0036469217494519146,2017-09-28
1149822.0409305051,20170929,-0.0013280570963664085,2017-09-29
1154906.590930505,20171002,0.0044220321223666925,2017-10-02
1154906.590930505,20171003,0.0,2017-10-03
1163901.1286905052,20171004,0.00778810843286748,2017-10-04
1168486.310450505,20171005,0.003939494212157557,2017-10-05
1165352.7138805052,20171006,-0.002681757194734846,2017-10-06
1163487.3990205051,20171009,-0.0016006440262954502,2017-10-09
1166589.1796205048,20171010,0.0026659339865742204,2017-10-10
1170934.020950505,20171011,0.00372439707645289,2017-10-11
1170107.566450505,20171012,-0.0007058079150600305,2017-10-12
1168601.6756305052,20171013,-0.0012869678508001803,2017-10-13
1174302.338670505,20171016,0.004878191738792559,2017-10-16
1179680.188270505,20171017,0.004579612441280467,2017-10-17
1182611.521400505,20171018,0.0024848540809161435,2017-10-18
1186040.192440505,20171019,0.002899236966624086,2017-10-19
1193759.1815905052,20171020,0.006508201997874163,2017-10-20
1195028.642310505,20171023,0.001063414413540631,2017-10-23
1204769.137610505,20171024,0.008150846728800953,2017-10-24
1206837.217610505,20171025,0.0017165778367311813,2017-10-25
1200813.917610505,20171026,-0.00499097965500761,2017-10-26
1196900.5376105052,20171027,-0.0032589395764056617,2017-10-27
1189335.597610505,20171030,-0.006320441642630459,2017-10-30
1191991.447610505,20171031,0.0022330534840928618,2017-10-31
1196799.427610505,20171101,0.004033569208603094,2017-11-01
1199604.787610505,20171102,0.002344051923220958,2017-11-02
1197173.7476105052,20171103,-0.0020265340928175,2017-11-03
1195108.9076105051,20171106,-0.0017247621776883548,2017-11-06
1195655.6576105051,20171107,0.0004574896869384837,2017-11-07
1200308.9476105052,20171108,0.0038918312060678417,2017-11-08
1197356.0176105052,20171109,-0.0024601416209372173,2017-11-09
1195398.7876105052,20171110,-0.0016346266032937207,2017-11-10
1196890.837610505,20171113,0.0012481608777454856,2017-11-13
1195681.607610505,20171114,-0.0010103093465182456,2017-11-14
1190314.297610505,20171115,-0.004488912404303269,2017-11-15
1191009.267610505,20171116,0.0005838541983365086,2017-11-16
1185246.367610505,20171117,-0.004838669317462019,2017-11-17
1186632.037610505,20171120,0.001169098710501304,2017-11-20
1192306.4976105052,20171121,0.0047819878615671385,2017-11-21
1187632.267610505,20171122,-0.0039203258636666405,2017-11-22
1189184.5076105052,20171124,0.001307003895341552,2017-11-24
1189682.237610505,20171127,0.00041854732954749174,2017-11-27
1203478.347610505,20171128,0.011596466320040077,2017-11-28
1207229.107610505,20171129,0.003116599486353122,2017-11-29
1220857.6576105051,20171130,0.011289116468518046,2017-11-30
1221907.227610505,20171201,0.0008596989120370768,2017-12-01
1223469.307610505,20171204,0.0012783949261474525,2017-12-04
1217852.847610505,20171205,-0.004590601468351663,2017-12-05
1219138.5476105053,20171206,0.0010557104682415996,2017-12-06
1216672.417610505,20171207,-0.0020228463818439124,2017-12-07
1218335.117610505,20171208,0.0013665962800946119,2017-12-08
1223733.3976105049,20171211,0.004430866287912005,2017-12-11
1229418.6876105051,20171212,0.004645856696484207,2017-12-12
1232620.067610505,20171213,0.0026039786382474617,2017-12-13
1227885.4176105051,20171214,-0.0038411268195384096,2017-12-14
1234935.737610505,20171215,0.005741838691854406,2017-12-15
1237943.427610505,20171218,0.0024355032479823624,2017-12-18
1236932.7976105053,20171219,-0.0008163781780806678,2017-12-19
1234643.2276105052,20171220,-0.0018510059757677055,2017-12-20
1240381.117610505,20171221,0.0046474073413944605,2017-12-21
1236128.7076105052,20171222,-0.003428309202410218,2017-12-22
1237296.487610505,20171226,0.0009447074506159225,2017-12-26
1237264.3876105049,20171227,-2.594366049002428e-05,2017-12-27
1237073.2076105052,20171228,-0.0001545183082242163,2017-12-28
1232472.317610505,20171229,-0.003719173587864777,2017-12-29
1239602.4476105052,20180102,0.0057852252729082565,2018-01-02
1239602.4476105052,20180103,0.0,2018-01-03
1242835.523172888,20180104,0.00260815519412283,2018-01-04
1248935.180744418,20180105,0.004907855832731567,2018-01-05
1247686.258564497,20180108,-0.00099998959047376,2018-01-08
1247686.258564497,20180109,0.0,2018-01-09
1247686.258564497,20180110,0.0,2018-01-10
1247686.258564497,20180111,0.0,2018-01-11
1247686.258564497,20180112,0.0,2018-01-12
1247686.258564497,20180116,0.0,2018-01-16
1247686.258564497,20180117,0.0,2018-01-17
1247686.258564497,20180118,0.0,2018-01-18
1247686.258564497,20180119,0.0,2018-01-19
1247686.258564497,20180122,0.0,2018-01-22
1247686.258564497,20180123,0.0,2018-01-23
1247686.258564497,20180124,0.0,2018-01-24
1247686.258564497,20180125,0.0,2018-01-25
1247686.258564497,20180126,0.0,2018-01-26
1247686.258564497,20180129,0.0,2018-01-29
1247686.258564497,20180130,0.0,2018-01-30
1247686.258564497,20180131,0.0,2018-01-31
1247686.258564497,20180201,0.0,2018-02-01
1247686.258564497,20180202,0.0,2018-02-02
1247686.258564497,20180205,0.0,2018-02-05
1247686.258564497,20180206,0.0,2018-02-06
1247686.258564497,20180207,0.0,2018-02-07
1247686.258564497,20180208,0.0,2018-02-08
1247686.258564497,20180209,0.0,2018-02-09
